member_casual,weekday,ride_length
casual,Friday,6090.737301884438
casual,Monday,4752.050438204257
casual,Saturday,4950.770800860982
casual,Sunday,5061.304364143255
casual,Thursday,8451.66685322513
casual,Tuesday,4561.8038572014775
casual,Wednesday,4480.372431729519
member,Friday,796.7337888996943
member,Monday,822.311201666214
member,Saturday,974.0729638294649
member,Sunday,972.938335797465
member,Thursday,707.2092742837065
member,Tuesday,769.4416287683435
member,Wednesday,711.9837902577481
